8196,0ns
14,18s
3583,19s
4,20s
1016,21s
1091,23s
335,24s
4167,25s
4,26s
3730,27s
4,30s
10,31s
6384,33s
4,34s
10,35s
2580,39s
4,40s
9,41s
5933,42s
5,43s
24,44s
5221,48s
3,49s
3,50s
7724,52s
5,54s
3,55s
19,56s
7025,61s
5,62s
3,63s
22,65s
6573,68s
3,69s
1697,70s
3,75s
5988,76s
3,77s
20,78s
4346,82s
3,83s
1313,84s
23,87s
8259,88s
4,89s
6,90s
3039,95s
3,97s
12882,98s
9,100s
6,101s
14,104s
4900,111s
3,113s
8,114s
6049,117s
3,118s
18,119s
5390,123s
2,124s
2,125s
1869,126s
8,129s
4609,130s
2,131s
18,132s
4999,135s
3,136s
