0ns 1 0
43s 1 1
43.147178531s 1 2
43.154530938s 1 3
43.166650761s 1 4
43.179613998s 1 5
43.198601164s 1 6
43.214344452s 1 7
43.237732121s 1 8
43.260605374s 1 9
43.290250728s 1 10
43.313856748s 1 11
43.340683821s 1 12
43.365264661s 1 13
43.394758384s 1 14
43.419232208s 1 15
43.444628734s 1 16
43.470608869s 1 17
43.513750388s 1 18
43.541911326s 1 19
43.570706569s 1 20
43.600667646s 1 21
43.634894422s 1 22
43.666263379s 1 23
43.696498607s 1 24
43.733930853s 1 25
43.772385915s 1 26
43.806649006s 1 27
43.838574852s 1 28
43.871105727s 1 29
43.905858298s 1 30
43.937536789s 1 31
43.97160867s 1 32
44.005037674s 1 33
44.057858529s 1 34
44.096076139s 1 35
44.137975957s 1 36
44.183138692s 1 37
44.2275533s 1 38
